,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,91.7v87.5,92.5v85.8,93.3v84.2,93.3v81.7,93.3v80.9,92.5v79.2,92.5v79.2,90.8v78.4,90.0v79.2,89.2v80.9,88.3v82.5,87.5v84.2,86.7v85.8,86.7v87.5,86.7v88.3,87.5v89.2,88.3v90.0,90.0v90.0
20,90.0v90.0,102.4v85.8,106.5v82.5,105.7v78.4,104.1v75.1,101.6v71.0,98.3v67.8,95.8v64.6,93.3v62.3,90.0v62.3,86.7v66.2,84.2v79.2,81.7v92.5,78.4v96.6,75.9v96.6,74.3v95.8,73.5v94.2,77.6v92.5,90.0v90.0
30,146.2v90.0,136.7v85.8,126.0v80.9,118.5v75.9,112.2v71.0,107.3v65.4,102.4v60.0,98.3v53.3,94.2v47.1,90.8v40.6,85.8v33.9,81.7v136.7,77.6v121.6,72.7v113.0,67.8v107.3,61.5v102.4,54.0v97.5,43.3v94.2,146.2v90.0
40,146.2v90.0,141.4v85.0,132.3v80.0,123.1v75.1,116.1v69.4,109.8v63.1,104.1v56.2,99.1v48.4,94.2v40.6,90.8v35.0,85.8v144.7,80.9v136.1,75.9v125.3,70.2v116.9,63.9v109.8,56.9v104.1,47.7v99.1,38.6v94.2,146.2v90.0
50,146.2v90.0,142.3v85.0,133.6v80.0,124.5v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v46.4,95.0v38.6,90.8v34.1,85.0v143.4,80.9v135.5,75.1v126.0,69.4v117.7,63.1v110.6,55.5v104.9,46.4v99.1,37.7v95.0,146.2v90.0
60,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.9,85.0v142.7,80.9v134.8,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
70,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.7,90.8v33.8,85.0v142.7,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
80,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.7,100.0v45.8,95.0v37.7,90.8v33.8,85.8v142.3,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
100,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.8,94.2v37.7,90.0v33.8,85.0v142.3,80.0v134.2,75.1v125.3,69.4v117.7,62.3v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
110,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.8,95.0v37.3,90.8v33.8,85.0v142.3,80.9v134.2,75.1v125.3,69.4v117.7,62.3v110.6,54.7v104.9,45.8v99.1,37.7v95.0,146.2v90.0
120,146.2v90.0,142.3v85.0,134.2v80.9,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.7,99.1v45.2,95.0v37.3,90.8v33.8,85.0v142.3,80.9v134.2,75.1v125.3,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
130,146.2v90.0,142.3v85.0,133.6v80.9,124.5v75.1,116.9v69.4,110.6v62.3,104.9v54.0,99.1v44.5,95.0v36.6,90.8v146.2,85.0v141.4,80.9v133.6,75.1v125.3,69.4v117.7,63.1v110.6,55.5v104.9,46.4v100.0,37.7v95.0,146.2v90.0
140,146.2v90.0,141.4v85.8,132.3v80.9,123.1v75.9,116.1v70.2,109.8v63.1,104.1v54.7,99.1v43.9,94.2v35.3,90.8v145.8,85.8v139.4,80.9v131.6,75.9v123.8,70.2v116.9,63.9v110.6,56.9v104.9,47.7v100.0,38.6v95.0,146.2v90.0
150,146.2v90.0,136.7v85.8,126.0v82.5,118.5v77.6,112.2v72.7,107.3v67.0,102.4v58.4,98.3v43.3,94.2v146.1,90.8v140.9,85.8v132.9,81.7v126.7,77.6v120.0,72.7v114.6,67.8v109.0,61.5v104.1,54.0v99.1,43.3v94.2,146.2v90.0
160,90.0v90.0,102.4v87.5,106.5v85.8,105.7v84.2,104.1v83.4,101.6v83.4,98.3v87.5,95.8v100.8,93.3v113.8,90.0v117.7,86.7v117.7,84.2v115.4,81.7v112.2,78.4v109.0,75.9v104.9,74.3v101.6,73.5v97.5,77.6v94.2,90.0v90.0
170,90.0v90.0,91.7v90.0,92.5v90.8,93.3v91.7,93.3v92.5,93.3v94.2,92.5v95.8,91.7v97.5,90.8v99.1,90.0v100.8,89.2v101.6,87.5v100.8,87.5v100.8,86.7v99.1,86.7v98.3,86.7v95.8,87.5v94.2,88.3v92.5,90.0v90.0
180,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
