,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.8v88.3,90.8v86.7,91.7v85.0,91.7v83.4,91.7v82.5,90.8v80.9,90.8v80.9,90.8v80.0,90.0v80.0,89.2v80.0,89.2v80.9,89.2v81.7,88.3v82.5,88.3v84.2,88.3v85.0,89.2v86.7,89.2v88.3,90.0v90.0
20,90.0v90.0,92.5v86.7,94.2v83.4,95.0v80.9,95.8v77.6,95.0v75.1,94.2v72.7,92.5v71.0,91.7v70.2,90.0v69.4,88.3v69.4,87.5v71.0,85.8v73.5,85.0v76.8,85.0v80.0,85.0v83.4,85.8v85.8,87.5v88.3,90.0v90.0
30,90.0v90.0,98.3v85.8,102.4v81.7,103.2v77.6,101.6v73.5,100.0v69.4,97.5v65.4,95.0v62.3,92.5v60.0,90.0v58.4,87.5v57.7,85.0v59.2,82.5v64.6,80.0v74.3,78.4v83.4,76.8v88.3,77.6v90.0,81.7v90.0,90.0v90.0
40,146.2v90.0,122.3v85.0,117.7v80.0,113.0v75.1,109.0v69.4,104.9v64.6,100.8v60.0,97.5v55.5,93.3v51.1,90.8v47.7,86.7v43.9,82.5v41.1,79.2v38.6,75.1v104.9,71.0v101.6,67.0v98.3,62.3v95.8,58.4v92.5,146.2v90.0
50,146.2v90.0,138.9v85.0,128.2v79.2,120.0v73.5,113.8v67.8,108.1v61.5,103.2v55.5,98.3v49.7,94.2v43.9,90.8v39.6,85.8v35.3,81.7v145.9,76.8v136.7,71.9v121.6,66.2v111.4,60.0v104.1,51.8v99.1,41.1v94.2,146.2v90.0
60,146.2v90.0,141.8v85.0,132.3v79.2,123.8v73.5,116.1v67.8,109.8v60.7,104.1v54.0,99.1v46.4,94.2v40.1,90.8v35.6,85.8v146.0,80.9v140.9,75.9v130.9,70.2v120.8,63.9v112.2,56.2v105.7,47.7v100.0,38.2v95.0,146.2v90.0
70,146.2v90.0,142.3v85.0,133.6v80.0,125.3v74.3,116.9v68.6,110.6v61.5,104.9v53.3,99.1v45.2,95.0v38.2,90.8v34.1,85.8v144.4,80.9v137.2,75.1v128.2,69.4v119.3,63.1v111.4,55.5v105.7,46.4v100.0,37.7v95.0,146.2v90.0
80,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,117.7v69.4,110.6v62.3,104.9v54.0,100.0v45.8,95.0v37.3,90.8v33.8,85.8v143.1,80.9v134.8,75.1v126.0,69.4v117.7,63.1v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
89,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan,nanvnan
100,146.2v90.0,142.3v85.0,134.2v80.0,125.3v75.1,116.9v69.4,110.6v62.3,104.9v54.0,99.1v45.2,94.2v36.9,90.0v33.8,85.0v142.7,80.0v134.2,75.1v126.0,69.4v117.7,62.3v110.6,54.7v104.9,45.8v100.0,37.7v95.0,146.2v90.0
