,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.0v87.5,90.0v85.8,90.0v84.2,90.0v83.4,90.0v82.5,90.0v81.7,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,90.0v80.0,90.0v80.9,90.0v81.7,90.0v83.4,90.0v85.0,90.0v87.5,90.0v90.0
20,90.0v90.0,89.2v87.5,89.2v85.0,89.2v82.5,88.3v80.0,88.3v78.4,89.2v76.8,89.2v75.1,89.2v73.5,90.0v71.9,90.8v70.2,90.8v69.4,90.8v68.6,91.7v67.8,91.7v67.8,90.8v68.6,90.8v71.9,90.8v77.6,90.0v90.0
30,90.0v90.0,89.2v85.8,88.3v82.5,87.5v79.2,87.5v75.9,87.5v73.5,87.5v71.0,87.5v68.6,89.2v66.2,90.0v64.6,90.8v62.3,92.5v60.7,92.5v58.4,92.5v56.2,92.5v54.0,92.5v50.4,91.7v46.4,90.8v39.6,90.0v146.2
40,90.0v90.0,88.3v84.2,87.5v78.4,85.8v73.5,85.0v70.2,85.0v67.0,85.0v64.6,85.8v62.3,87.5v60.0,90.0v58.4,92.5v56.2,94.2v54.0,95.0v51.1,95.0v48.4,95.0v45.2,94.2v41.6,92.5v38.2,91.7v35.0,90.0v146.2
50,90.0v90.0,88.3v76.8,85.8v69.4,84.2v64.6,83.4v61.5,82.5v59.2,81.7v57.7,83.4v55.5,85.8v54.0,89.2v52.5,94.2v49.7,96.6v47.7,98.3v45.8,97.5v43.3,96.6v40.6,95.8v38.2,94.2v35.9,91.7v34.4,90.0v146.2
60,90.0v146.2,87.5v44.5,85.0v48.4,83.4v49.1,80.9v49.7,79.2v49.7,78.4v49.1,79.2v48.4,83.4v47.1,89.2v45.8,96.6v44.5,100.8v42.8,101.6v41.1,100.8v39.6,99.1v37.7,96.6v36.2,95.0v35.0,92.5v34.1,90.0v146.2
70,90.0v146.2,87.5v34.6,85.0v36.2,81.7v38.2,79.2v39.6,76.8v40.1,75.9v40.6,75.9v40.6,79.2v40.6,88.3v40.1,100.8v39.6,104.1v38.6,104.1v37.7,103.2v36.9,100.8v35.9,98.3v35.0,95.0v34.4,92.5v33.9,90.0v146.2
80,90.0v146.2,86.7v33.9,84.2v34.1,80.9v34.4,78.4v34.8,75.9v35.0,73.5v35.3,72.7v35.6,75.9v35.6,88.3v35.6,104.1v35.3,107.3v35.3,106.5v35.0,104.1v34.6,101.6v34.4,99.1v34.1,95.8v34.0,93.3v33.8,90.0v146.2
89,90.0v146.2,86.7v146.2,84.2v146.2,80.9v33.8,77.6v33.8,75.1v33.8,72.7v33.8,71.9v33.8,75.1v33.8,87.5v33.8,104.9v33.8,108.1v33.8,107.3v33.8,104.9v33.8,102.4v33.8,99.1v33.8,95.8v33.8,93.3v146.2,90.0v146.2
100,90.0v146.2,86.7v146.2,84.2v146.0,80.9v145.9,78.4v145.6,75.9v145.4,73.5v145.0,72.7v144.7,75.9v144.7,88.3v144.4,104.1v144.4,107.3v144.4,106.5v144.7,104.1v145.0,101.6v145.2,99.1v145.6,95.8v145.9,93.3v146.1,90.0v146.2
110,90.0v146.2,87.5v146.1,85.0v145.6,81.7v145.0,79.2v144.1,76.8v143.1,75.9v142.3,75.9v141.4,79.2v140.4,88.3v139.9,100.8v139.4,104.1v139.4,104.1v139.4,103.2v139.9,100.8v140.4,98.3v141.8,95.0v143.8,92.5v145.4,90.0v146.2
120,90.0v146.2,87.5v145.9,85.0v145.0,83.4v143.8,80.9v142.3,79.2v140.4,78.4v138.9,79.2v137.2,83.4v135.5,89.2v134.2,96.6v132.9,100.8v131.6,101.6v130.9,100.8v130.3,99.1v130.3,96.6v130.9,95.0v131.6,92.5v135.5,90.0v146.2
130,90.0v146.2,88.3v145.6,85.8v144.1,84.2v141.8,83.4v139.4,82.5v136.7,81.7v134.2,83.4v132.3,85.8v130.3,89.2v128.2,94.2v126.0,96.6v124.5,98.3v122.3,97.5v120.8,96.6v118.5,95.8v115.4,94.2v110.6,91.7v103.2,90.0v90.0
140,90.0v146.2,88.3v145.0,87.5v141.8,85.8v138.4,85.0v134.8,85.0v131.6,85.0v128.9,85.8v126.0,87.5v123.8,90.0v122.3,92.5v120.0,94.2v117.7,95.0v115.4,95.0v113.0,95.0v109.8,94.2v106.5,92.5v101.6,91.7v95.8,90.0v90.0
150,90.0v146.2,89.2v140.4,88.3v133.6,87.5v129.6,87.5v126.0,87.5v123.8,87.5v121.6,87.5v119.3,89.2v117.7,90.0v115.4,90.8v113.8,92.5v111.4,92.5v109.0,92.5v106.5,92.5v104.1,92.5v100.8,91.7v97.5,90.8v94.2,90.0v90.0
