,0,10,20,30,40,50,60,70,80,89,100,110,120,130,140,150,160,170,180
0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
10,90.0v90.0,90.0v88.3,90.0v86.7,90.8v85.0,90.8v84.2,90.8v83.4,90.8v81.7,90.0v80.9,90.0v80.9,90.0v80.0,90.0v80.0,90.0v80.0,89.2v80.9,89.2v81.7,89.2v83.4,89.2v84.2,90.0v85.8,90.0v88.3,90.0v90.0
20,90.0v90.0,90.8v87.5,91.7v84.2,92.5v81.7,92.5v79.2,92.5v76.8,91.7v74.3,91.7v72.7,90.8v71.9,90.0v70.2,89.2v70.2,88.3v70.2,88.3v70.2,87.5v71.9,87.5v74.3,88.3v76.8,88.3v80.9,89.2v85.0,90.0v90.0
30,90.0v90.0,92.5v85.8,94.2v81.7,95.0v77.6,95.0v74.3,95.0v71.0,94.2v67.8,92.5v65.4,91.7v63.9,90.0v62.3,88.3v60.7,87.5v60.0,86.7v60.0,85.0v60.7,85.0v62.3,85.0v65.4,85.8v71.0,87.5v79.2,90.0v90.0
40,90.0v90.0,95.0v84.2,99.1v79.2,100.0v74.3,99.1v70.2,98.3v65.4,96.6v62.3,94.2v59.2,92.5v56.2,90.0v54.7,88.3v52.5,85.8v51.1,84.2v50.4,81.7v49.7,80.9v50.4,80.9v51.8,81.7v54.0,85.0v60.0,90.0v90.0
50,90.0v90.0,104.1v83.4,107.3v76.8,106.5v71.0,104.1v65.4,101.6v60.7,99.1v56.2,95.8v53.3,93.3v49.7,90.0v47.7,86.7v45.2,84.2v43.3,81.7v42.2,78.4v41.1,75.9v40.1,73.5v39.6,72.7v38.6,76.8v36.6,90.0v146.2
60,146.2v90.0,125.3v81.7,119.3v73.5,113.8v66.2,109.8v60.0,104.9v55.5,101.6v51.1,97.5v47.7,93.3v44.5,90.8v42.2,86.7v40.1,82.5v38.2,79.2v36.9,75.1v35.6,71.0v34.8,66.2v34.2,60.7v34.0,55.5v33.8,146.2v146.2
70,146.2v90.0,138.4v78.4,128.2v67.8,120.0v60.0,113.8v54.0,108.1v49.1,103.2v45.2,98.3v42.2,94.2v39.6,90.8v37.7,85.8v36.2,81.7v35.0,76.8v34.2,71.9v33.8,66.2v146.2,60.0v146.0,51.8v145.6,41.6v145.9,146.2v146.2
80,146.2v90.0,141.8v60.7,132.3v52.5,123.8v47.7,116.1v44.5,109.8v41.6,104.1v39.1,99.1v37.3,94.2v35.9,90.8v35.0,85.8v34.2,80.9v33.8,75.9v146.2,70.2v146.0,63.9v145.6,56.2v145.2,47.7v145.2,38.6v145.8,146.2v146.2
89,146.2v146.2,142.3v33.8,133.6v33.8,125.3v33.8,116.9v33.8,110.6v33.8,104.9v33.8,99.1v33.8,95.0v33.8,90.8v33.8,85.0v33.8,80.9v33.8,75.1v33.8,69.4v146.2,63.1v33.8,54.7v146.2,46.4v33.8,37.7v146.2,146.2v146.2
100,146.2v146.2,141.4v34.2,132.3v34.8,123.8v34.8,116.1v34.4,109.8v34.0,104.1v33.8,99.1v146.2,94.2v145.8,90.0v145.2,85.8v144.1,80.9v142.7,75.9v140.9,70.2v138.4,63.9v135.5,56.2v132.3,47.7v127.5,38.2v119.3,146.2v90.0
110,146.2v146.2,138.4v34.1,128.2v34.4,120.0v34.0,113.8v33.8,108.1v146.2,103.2v145.8,98.3v145.0,94.2v143.8,90.0v142.7,85.8v140.4,81.7v137.8,76.8v134.8,71.9v130.9,66.2v126.0,60.0v120.0,51.8v112.2,41.6v101.6,146.2v90.0
120,146.2v146.2,124.5v146.2,119.3v146.0,113.8v145.8,109.0v145.2,104.9v144.4,100.8v143.1,97.5v141.8,93.3v139.9,90.0v138.4,86.7v135.5,82.5v132.3,78.4v128.9,75.1v124.5,70.2v120.0,66.2v113.8,60.7v106.5,54.7v98.3,146.2v90.0
130,90.0v146.2,103.2v143.4,107.3v141.4,106.5v140.4,104.1v139.9,101.6v138.9,98.3v137.8,95.8v136.7,93.3v134.8,90.0v132.9,86.7v130.3,84.2v126.7,80.9v123.8,78.4v119.3,75.9v114.6,73.5v109.0,72.7v103.2,75.9v96.6,90.0v90.0
140,90.0v90.0,95.0v120.0,98.3v126.0,99.1v128.2,99.1v129.6,98.3v130.3,95.8v129.6,94.2v128.9,91.7v127.5,90.0v126.0,87.5v123.8,85.8v120.8,83.4v117.7,81.7v114.6,80.9v109.8,80.0v105.7,80.9v100.8,85.0v95.8,90.0v90.0
150,90.0v90.0,92.5v100.8,94.2v109.0,95.0v114.6,95.0v117.7,95.0v119.3,93.3v120.0,92.5v120.0,91.7v119.3,90.0v118.5,88.3v116.1,87.5v114.6,85.8v112.2,85.0v109.0,85.0v105.7,85.0v102.4,85.8v98.3,87.5v94.2,90.0v90.0
160,90.0v90.0,90.8v95.0,91.7v99.1,91.7v103.2,92.5v105.7,92.5v108.1,91.7v109.8,91.7v109.8,90.8v109.8,90.0v109.8,89.2v108.1,88.3v107.3,88.3v105.7,87.5v103.2,87.5v100.8,87.5v98.3,88.3v95.8,89.2v92.5,90.0v90.0
170,90.0v90.0,90.0v91.7,90.0v94.2,90.8v95.8,90.8v96.6,90.8v98.3,90.8v99.1,90.0v100.0,90.0v100.0,90.0v100.0,90.0v99.1,90.0v99.1,89.2v98.3,89.2v96.6,89.2v95.8,89.2v95.0,90.0v93.3,90.0v91.7,90.0v90.0
180,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0,90.0v90.0
