Epoch,angleAtPeakEpwrCh0,angleAtPeakBpwrCh0,angleAtPeakEpwrCh1,angleAtPeakBpwrCh1,angleAtPeakEpwrCh2,angleAtPeakBpwrCh2,angleAtPeakEpwrCh3,angleAtPeakBpwrCh3,angleAtPeakEpwrCh4,angleAtPeakBpwrCh4,angleAtPeakEpwrCh5,angleAtPeakBpwrCh5,angleAtPeakEpwrCh6,angleAtPeakBpwrCh6,angleAtPeakEpwrCh7,angleAtPeakBpwrCh7,angleAtPeakEpwrCh8,angleAtPeakBpwrCh8,angleAtPeakEpwrCh9,angleAtPeakBpwrCh9,angleAtPeakEpwrCh10,angleAtPeakBpwrCh10,angleAtPeakEpwrCh11,angleAtPeakBpwrCh11,angleAtPeakEpwrCh12,angleAtPeakBpwrCh12,angleAtPeakEpwrCh13,angleAtPeakBpwrCh13,angleAtPeakEpwrCh14,angleAtPeakBpwrCh14,angleAtPeakEpwrCh15,angleAtPeakBpwrCh15
6.34759501239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759505239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759509239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759513239e+17,nan,37.64448720999195,nan,nan,nan,nan,nan,nan,nan,nan,144.745247706592,nan,nan,nan,nan,nan,nan,nan,145.08535491297243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759517239e+17,nan,nan,nan,nan,nan,39.387299189649475,nan,nan,nan,nan,nan,39.387299189649475,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.57807362429986,nan,nan,nan,nan,nan,35.57807362429986,nan
6.34759521239e+17,nan,73.24450306954981,nan,40.498395448893106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.79391060368107,81.68969198602221,nan,nan,nan,nan,nan,nan,nan,154.561313423193,nan,nan,nan,nan,nan,nan,nan
6.34759525239e+17,nan,40.498395448893106,nan,40.498395448893106,nan,73.27535024968635,nan,nan,145.6422424530861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.79830899177267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759529239e+17,146.76248582535715,42.04737304249468,nan,42.04737304249468,nan,nan,nan,57.43711842303383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759533239e+17,nan,33.3403428035927,nan,42.04737304249468,nan,42.04737304249468,nan,42.04737304249468,nan,nan,nan,nan,nan,33.3403428035927,nan,nan,nan,nan,nan,nan,nan,nan,118.82266151701344,nan,nan,nan,118.82266151701344,nan,118.82266151701344,nan,118.82266151701344,nan
6.34759537239e+17,nan,nan,nan,41.485162681390506,nan,nan,nan,43.39004746853528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158.79224444778106,nan,nan,nan,nan,nan,nan,nan,nan,158.79224444778106,nan
6.34759541239e+17,nan,nan,147.14951169305866,43.39004746853528,nan,nan,147.14951169305866,nan,147.14951169305866,nan,147.14951169305866,nan,147.14951169305866,nan,147.14951169305866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759545239e+17,nan,nan,nan,nan,147.87752432038045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759549239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759553239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759557239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759561239e+17,149.30781732514026,34.980799509188294,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,46.162802594867,nan,nan,nan,165.6428897408204,nan,165.6428897408204,nan,nan,nan,nan,nan,nan,nan,nan
6.34759565739e+17,145.2696770633314,148.08900785559968,nan,nan,nan,138.71037149809388,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759569739e+17,nan,49.81769095966992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.93184757668524,145.11550974063704,nan,145.11550974063704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759573739e+17,146.5463532004291,35.93184757668524,nan,35.93184757668524,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.5898393252682,nan,nan,nan,nan,146.5463532004291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759577739e+17,146.28732396242836,37.39055924482567,nan,nan,nan,37.39055924482567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.28477769552333,nan,nan,80.1229077952364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759581739e+17,nan,37.39055924482567,nan,36.8965874189949,nan,37.39055924482567,nan,nan,nan,nan,nan,nan,nan,36.8965874189949,nan,nan,nan,nan,nan,36.8965874189949,nan,nan,nan,nan,nan,nan,nan,nan,nan,154.18436532767777,nan,nan
6.34759585739e+17,nan,nan,nan,nan,nan,36.8965874189949,nan,72.25480844291873,nan,nan,nan,38.60090453963415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,67.58341265541023,nan,nan,nan,nan
6.34759589739e+17,nan,38.60090453963415,nan,38.223998977837624,nan,nan,nan,72.62523634572142,nan,nan,nan,nan,148.96073729785513,92.05803346176438,nan,nan,nan,nan,nan,nan,156.6931850152487,nan,156.6931850152487,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759593739e+17,nan,40.03959601224081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.03959601224081,nan,nan,nan,nan,156.6931850152487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759597739e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759601739e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759605739e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759609739e+17,149.94053236135065,30.288816880260327,nan,61.596094905914654,nan,nan,nan,80.71638366226188,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.32641360598712,123.58394503064156,nan,nan,nan,nan,nan,nan,nan,nan,123.58394503064156,nan,nan
6.34759613739e+17,nan,nan,151.08295861686838,44.32641360598712,151.08295861686838,nan,nan,44.18110680490153,nan,nan,nan,nan,nan,nan,151.08295861686838,nan,151.08295861686838,nan,151.08295861686838,nan,nan,nan,nan,nan,165.09157594237638,nan,165.09157594237638,nan,165.09157594237638,nan,165.09157594237638,nan
6.34759617739e+17,nan,46.101414781675864,nan,nan,150.1385937033361,nan,nan,nan,nan,nan,150.1385937033361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759621739e+17,nan,nan,nan,32.115723785252726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759626239e+17,nan,nan,nan,32.115723785252726,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.115723785252726,nan,32.115723785252726,nan,nan,nan,nan,nan,nan,nan,nan,nan,92.84697932512628,nan,nan,nan,nan,nan,nan
6.34759630239e+17,nan,nan,nan,nan,nan,nan,nan,33.86976520369147,nan,nan,nan,33.86976520369147,nan,33.86976520369147,nan,33.86976520369147,nan,nan,nan,33.86976520369147,nan,nan,nan,nan,nan,nan,nan,118.0096964672426,nan,nan,nan,118.0096964672426
6.34759634239e+17,148.2716387989641,69.07315186789126,nan,69.07315186789126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.2716387989641,nan,nan,nan,151.40670764783812,nan,151.40670764783812,nan,151.40670764783812,nan,nan,nan,nan,nan,nan,nan
6.34759638239e+17,nan,35.394793818566846,nan,89.8768257049503,nan,89.8768257049503,nan,nan,nan,nan,148.09680511762366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759642239e+17,nan,35.43153260577628,nan,nan,nan,145.59530732341906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.43153260577628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,154.57240083215956
6.34759646239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759650239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759654239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759658239e+17,nan,148.74380218370806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.373946749579204,nan,159.20404618032472,nan,nan,nan,nan,nan,159.20404618032472,nan,nan,nan,nan
6.34759662239e+17,nan,40.35271822540038,nan,nan,nan,nan,nan,116.70226833153278,nan,40.35271822540038,nan,40.35271822540038,nan,nan,nan,nan,nan,nan,nan,nan,42.41120678324549,nan,nan,nan,123.7081607776012,nan,nan,nan,nan,nan,nan,nan
6.34759666239e+17,nan,nan,nan,42.45802112861132,152.1769584150387,42.45802112861132,152.1769584150387,nan,nan,nan,nan,nan,nan,40.34872077916728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.54103440972966,nan,nan,nan,nan,nan,nan,nan
6.34759670239e+17,nan,nan,nan,nan,nan,42.45802112861132,nan,nan,nan,nan,nan,42.45802112861132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,124.6151485557041,nan,nan,nan,nan,nan,nan,nan
6.34759674239e+17,nan,42.627278505109985,nan,nan,nan,nan,152.29852637930784,42.627278505109985,nan,nan,nan,nan,nan,42.627278505109985,152.29852637930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759678239e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.60287391147798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759682239e+17,nan,nan,nan,nan,152.49496822597638,nan,nan,44.60728271131816,nan,nan,146.89430880223438,84.64271047790453,nan,nan,nan,nan,nan,nan,nan,nan,118.36001894096947,nan,118.36001894096947,nan,118.36001894096947,nan,118.36001894096947,nan,nan,nan,nan,nan
6.34759686739e+17,nan,nan,nan,31.11053802765008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.11053802765008,nan,149.44572965328354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759690739e+17,nan,32.81689205150503,nan,31.11053802765008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759694739e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.34759698739e+17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
